Titre;Prix;Année;Kilometrage;Boite;Carburant;Marque;Modele;Ville;Image;Lien
MERCEDES-BENZ Classe c;0;2022;24 000;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-614086.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448250/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c;0;2019;149 000;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-670594.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480286/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c;0;2025;4 000;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-271456.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/477476/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c;0;2025;4 000;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-104063.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/477477/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c;0;2019;109 000;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-348314.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/448050/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c;0;2023;39 000;Automatique;Diesel;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-339162.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465406/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c;380000;2019;139 000;Automatique;Diesel;Mercedes;Classe C;Casablanca;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-685575.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467899/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c;0;2025;4 000;Automatique;Essence;Mercedes;Classe C;;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-647918.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480364/mercedes-benz-classe-c-.html
MERCEDES-BENZ Classe c Cayenne coupe…;1650000;2025;4 000;Automatique;Hybride;Mercedes;Classe C;Marrakech;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-820911.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400147/mercedes-benz-classe-c-cayenne-coupe-hybride-platinum-edition.html
MERCEDES-BENZ Classe c Avantgarde;154000;2011;300;Automatique;Diesel;Mercedes;Classe C;Rabat;https://www.moteur.ma/media/photos/ads/resized/mercedes-benz-classe-c-947344.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/480713/mercedes-benz-classe-c-avantgarde.html
