Titre;Prix;Année;Kilometrage;Boite;Carburant;Marque;Modele;Ville;Image;Lien
Toyota Yaris Essence Manuelle 2019 à Casablanca;110000;2019;75 000 - 79 999;Manuelle;Essence;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10130367546?t=images;https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Toyota_Yaris_Essence_Manuelle_2019_à_Casablanca_55987924.htm
سيارة اقتصادية;25000;1999;250 000 - 299 999;Manuelle;Essence;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10130349747?t=images;https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/سيارة_اقتصادية_55985424.htm
chercher voiture;0;2014;120 000 - 129 999;Manuelle;Essence;Toyota;Yaris;N/A;N/A;https://www.avito.ma/fr/allal_el_fassi/voitures_d_occasion/chercher_voiture__55952441.htm
yaris toyota 2019 ww maroc;0;2019;50 000 - 54 999;Manuelle;Essence;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10130050218?t=images;https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/yaris_toyota_2019_ww_maroc__55952340.htm
Toyota Yaris Hybride Automatique 2021 à Casablanca;169900;2021;35 000 - 39 999;Automatique;Hybride;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10130005232?t=images;https://www.avito.ma/fr/roches_noires/voitures_d_occasion/Toyota_Yaris_Hybride_Automatique_2021_à_Casablanca_55942986.htm
Toyota Yaris;68000;2010;120 000 - 129 999;Manuelle;Essence;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10129903747?t=images;https://www.avito.ma/fr/el_houda/voitures_d_occasion/Toyota_Yaris__55936118.htm
Toyota Yaris Diesel Manuelle 2016 à Casablanca;110000;2016;100 000 - 109 999;Manuelle;Diesel;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10129846009?t=images;https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Toyota_Yaris_Diesel_Manuelle_2016_à_Casablanca_55930532.htm
Toyota Yaris;99000;2019;50 000 - 54 999;Manuelle;Essence;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10130159249?t=images;https://www.avito.ma/fr/oulfa/voitures_d_occasion/Toyota_Yaris__53457312.htm
Toyota Yaris Diesel - Novembre 2018 à Harhoura;119000;2018;150 000 - 159 999;Manuelle;Diesel;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10129604781?t=images;https://www.avito.ma/fr/harhoura/voitures_d_occasion/Toyota_Yaris_Diesel___Novembre_2018_à_Harhoura_55897808.htm
Toyota yaris essence 2009;58000;2009;110 000 - 119 999;Manuelle;Essence;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10129028769?t=images;https://www.avito.ma/fr/bled_eljed/voitures_d_occasion/Toyota_yaris_essence_2009_55845662.htm
Voiture Toyota;100700;2020;10 000 - 14 999;Manuelle;Diesel;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10128826172?t=images;https://www.avito.ma/fr/hay_salam/voitures_d_occasion/Voiture_Toyota__55822419.htm
Toyota Yaris;120000;2020;45 000 - 49 999;Manuelle;Essence;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10128727575?t=images;https://www.avito.ma/fr/hay_riad/voitures_d_occasion/Toyota_Yaris__55811522.htm
Toyota yaris 2010;65000;2010;140 000 - 149 999;Manuelle;Diesel;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10128666869?t=images;https://www.avito.ma/fr/sidi_bennour/voitures_d_occasion/Toyota_yaris_2010_55804593.htm
Toyota Yaris City BVM 2019;119000;2019;130 000 - 139 999;Manuelle;Essence;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10127560221?t=images;https://www.avito.ma/fr/maarif/voitures_d_occasion/Toyota_Yaris_City_BVM_2019_55442970.htm
Toyota Yaris Essence Manuelle 2000 à Casablanca;40000;2000;100 000 - 109 999;Manuelle;Essence;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10127652192?t=images;https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Toyota_Yaris_Essence_Manuelle_2000_à_Casablanca_55689501.htm
طويطا ياريس;60000;2008;20 000 - 24 999;Manuelle;Essence;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10127519947?t=images;https://www.avito.ma/fr/hay_essalam/voitures_d_occasion/طويطا_ياريس_55675362.htm
toyota yaris;0;2020;10 000 - 14 999;Manuelle;Essence;Toyota;Yaris;N/A;N/A;https://www.avito.ma/fr/khouribga/voitures_d_occasion/toyota_yaris__55543956.htm
Yaris cross hybride;0;2022;20 000 - 24 999;Automatique;Hybride;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10125896320?t=images;https://www.avito.ma/fr/agdal/voitures_d_occasion/Yaris_cross_hybride__55510886.htm
Toyota Yaris Essence Manuelle 2017 à Casablanca;115000;2017;30 000 - 34 999;Manuelle;Essence;Toyota;Yaris;N/A;https://content.avito.ma/classifieds/images/10122465546?t=images;https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Toyota_Yaris_Essence_Manuelle_2017_à_Casablanca_55256466.htm
